Employee ID,Position Title,Department,Annual Salary,Review Score
10083,POLICE OFFICER,POLICE,61943,6.2
10088,CONSTRUCTION LABORER,WATER MGMT,60502,6.8
10094,CONSTRUCTION LABORER,WATER MGMT,60375,7.1
10105,HOISTING ENGINEER,WATER MGMT,75516,5.4
10118,FIRE ENGINEER,FIRE,73456,6.7
10123,POLICE OFFICER,POLICE,59790,7.5
10124,FIRE ENGINEER-PARAMEDIC,FIRE,73867,5.3
10125,POLICE OFFICER,POLICE,65786,8.8
10129,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,71005,8.6
10135,FIREFIGHTER/PARAMEDIC,FIRE,63528,6.5
10136,POLICE OFFICER,POLICE,64076,5.1
10138,SANITATION LABORER,SANITATION,56360,5.3
10139,FIREFIGHTER,FIRE,61978,6.8
10141,COMMUNICABLE DISEASE CONTROL INVESTIGATOR II,HEALTH,55474,7.5
10158,CONCRETE LABORER,TRANSPORTATION,60792,4.5
10160,PRINCIPAL PROGRAMMER/ANALYST,FINANCE,60391,7.7
10162,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16721,4.9
10165,LIEUTENANT,POLICE,96364,5.9
10168,FILTRATION ENGINEER III,WATER MGMT,71754,5.5
10170,COMMANDER,POLICE,120233,6.8
10175,SERGEANT,POLICE,80654,7.1
10177,OPERATING ENGINEER-GROUP C,WATER MGMT,72081,4.8
10185,POLICE OFFICER / FLD TRNG OFFICER,POLICE,64582,8.1
10186,POLICE OFFICER,POLICE,63548,6.4
10189,SERGEANT,POLICE,79964,5.7
10191,SANITARIAN II,HEALTH,53112,6.7
10192,DETENTION AIDE,POLICE,52956,8.4
10193,CHIEF CONTRACT EXPEDITER,HEALTH,63447,6.2
10196,SUPERVISING CONSUMER INVESTIGATOR,BUSINESS AFFAIRS,58169,7
10199,SEWER BRICKLAYER,WATER MGMT,67735,7.2
10204,FIREFIGHTER,FIRE,65995,6.6
10206,CONSTRUCTION LABORER (SUB-FOREMAN),WATER MGMT,62188,4.9
10208,POLICE OFFICER,POLICE,59891,6.8
10211,CLERK IV,PUBLIC LIBRARY,44167,7.2
10216,LIEUTENANT-EMT,FIRE,77481,6.6
10218,POLICE COMMUNICATIONS OPERATOR I,EMERGENCY MGMT,46416,3.5
10219,POLICE OFFICER,POLICE,59904,5.5
10222,HUMAN SERVICE SPECIALIST II,FAMILY & SUPPORT,54792,6.5
10224,CLERK III,POLICE,36772,6.4
10227,POLICE OFFICER,POLICE,63397,5.5
10228,POLICE OFFICER,POLICE,61245,5.7
10239,POLICE OFFICER,POLICE,59049,7.7
10241,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16952,6.4
10242,ASPHALT LABORER,TRANSPORTATION,60804,7
10244,POLICE OFFICER,POLICE,61254,6
10247,POLICE OFFICER,POLICE,59015,6.7
10249,ACCOUNTING TECHNICIAN I,FINANCE,43909,6.1
10252,CONCRETE LABORER,TRANSPORTATION,60659,6.6
10254,GARAGE ATTENDANT,GENERAL SERVICES,36614,8.1
10262,POLICE OFFICER,POLICE,61806,7.1
10267,POLICE OFFICER,POLICE,59242,6.9
10269,LABORER,AVIATION,52042,7.8
10270,SANITATION LABORER,SANITATION,55702,7.4
10272,POLICE OFFICER,POLICE,63734,5.4
10273,HOSPITALITY WORKER,FAMILY & SUPPORT,8779,5.5
10275,ASPHALT LABORER,TRANSPORTATION,61025,4.8
10278,MOTOR TRUCK DRIVER,SANITATION,56146,6.3
10279,MOTOR TRUCK DRIVER,SANITATION,55742,5.6
10280,LIEUTENANT-EMT,FIRE,84308,6.1
10286,FIREFIGHTER,FIRE,63449,5.1
10289,DATA ENTRY OPERATOR,POLICE,32080,5.7
10290,POLICE OFFICER,POLICE,63132,8.6
10293,TIMEKEEPER - CPD,POLICE,55027,6.9
10302,CUSTODIAL WORKER,AVIATION,21968,5.8
10303,POLICE OFFICER (ASGND AS MARINE OFFICER),POLICE,67166,7
10305,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,73370,4.7
10307,WATCHMAN,GENERAL SERVICES,34440,7.5
10310,EXEC ADMINISTRATIVE ASST II,HUMAN RESOURCES,36638,6.1
10312,POLICE OFFICER,POLICE,63560,5.6
10313,MANAGER OF CUSTOMER  SERVICES,FINANCE,72943,6.9
10317,ASST CORPORATION COUNSEL SUPVSR,LAW,70780,7.7
10319,SERGEANT,POLICE,80821,6.2
10321,ASST DIR OF PUBLIC HEALTH NURSING,HEALTH,69576,5.3
10323,POLICE OFFICER,POLICE,61033,4.4
10324,CEMENT FINISHER,TRANSPORTATION,68828,5.8
10326,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,68743,7.4
10330,POLICE OFFICER,POLICE,59096,5.8
10338,STREET LIGHT REPAIR WORKER,TRANSPORTATION,73148,5.7
10340,LABORER,AVIATION,52163,5.3
10341,POLICE OFFICER,POLICE,59135,8
10344,PROPERTY CUSTODIAN,POLICE,43522,7.6
10347,FIREFIGHTER/PARAMEDIC,FIRE,68707,5.7
10350,SERGEANT,POLICE,77642,6.8
10352,LEGAL SECRETARY,LAW,50442,7.3
10357,PROPERTY CUSTODIAN - AUTO POUND,SANITATION,48170,7
10359,MANAGER OF CUSTOMER  SERVICES,AVIATION,74924,7.1
10363,FOREMAN OF MOTOR TRUCK DRIVERS,WATER MGMT,58143,7.1
10365,LABORER,TRANSPORTATION,60882,5.2
10367,POLICE OFFICER,POLICE,56199,5.3
10369,POLICE OFFICER,POLICE,67334,6.5
10371,WARD SUPERINTENDENT,SANITATION,57212,7.2
10372,SANITATION LABORER,SANITATION,55871,5.1
10373,POLICE OFFICER,POLICE,63448,7.1
10374,MOTOR TRUCK DRIVER,SANITATION,55214,6.8
10376,COMMANDER,POLICE,120597,6.4
10380,REVENUE INVESTIGATOR II,BUSINESS AFFAIRS,52213,7
10383,POLICE OFFICER,POLICE,63455,7.4
10386,POLICE OFFICER,POLICE,59131,4.9
10387,POLICE OFFICER,POLICE,63565,5.2
10390,POLICE OFFICER,POLICE,61491,6.2
10396,ASST SPECIALIST IN AGING,FAMILY & SUPPORT,45758,7.2
10399,REFUSE COLLECTION COORD,SANITATION,71383,6.2
10404,SERGEANT,POLICE,80813,5.1
10406,POLICE OFFICER,POLICE,63701,6.6
10407,DEPUTY DISTRICT CHIEF,FIRE,115575,7.7
10408,POLICE OFFICER,POLICE,61435,7.5
10414,FIREFIGHTER,FIRE,66187,7
10418,POLICE COMMUNICATIONS OPERATOR I,EMERGENCY MGMT,50458,6.3
10423,CONSTRUCTION LABORER,WATER MGMT,60612,7.2
10427,TRAINING DIRECTOR,POLICE,63475,5.8
10428,FOREMAN OF CARPENTERS,TRANSPORTATION,73126,6
10432,POLICE OFFICER,POLICE,61393,6.2
10433,MOTOR TRUCK DRIVER,SANITATION,55812,4.6
10435,POLICE OFFICER,POLICE,67994,8.2
10436,ASST CORPORATION COUNSEL,LAW,45138,6.5
10442,POLICE OFFICER,POLICE,34247,5.6
10446,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16124,6.6
10447,POLICE OFFICER,POLICE,61344,5
10451,POLICE OFFICER,POLICE,54290,7.1
10454,LIEUTENANT,FIRE,80308,7.7
10457,FIREFIGHTER,FIRE,61893,7.1
10460,MACHINIST (AUTOMOTIVE),GENERAL SERVICES,71959,6.3
10463,LAW CLERK,LAW,21016,4.7
10465,POOL MOTOR TRUCK DRIVER,AVIATION,55728,6.5
10472,POLICE OFFICER / FLD TRNG OFFICER,POLICE,64621,6.5
10482,POLICE OFFICER,POLICE,59952,7.1
10483,ADMINISTRATIVE ASST III,BUILDINGS,60255,6.3
10485,POLICE OFFICER,POLICE,67457,6.6
10487,POLICE OFFICER,POLICE,63782,7.9
10489,CAPTAIN-PARAMEDIC,FIRE,96764,4.5
10491,MOTOR TRUCK DRIVER,SANITATION,55406,7.4
10494,SERGEANT,POLICE,83431,6.1
10495,SERGEANT,POLICE,80746,7.3
10498,LIEUTENANT,FIRE,80609,5.7
10505,WATCHMAN,WATER MGMT,35045,7.4
10506,LIBRARIAN III,PUBLIC LIBRARY,57221,3.9
10507,POLICE OFFICER,POLICE,51399,7.1
10512,ASST CORPORATION COUNSEL,LAW,46802,5.9
10515,LINEMAN,EMERGENCY MGMT,73216,7.3
10517,BOOTER - PARKING,FINANCE,50476,5.2
10518,POLICE OFFICER,POLICE,66044,6.2
10521,POLICE OFFICER,POLICE,65962,5.9
10522,STEAMFITTER,WATER MGMT,75269,6.5
10523,AVIATION COMMUNICATIONS OPERATOR,EMERGENCY MGMT,49898,6.9
10528,FIRE ENGINEER-EMT,FIRE,77156,5.1
10535,POLICE OFFICER,POLICE,51736,8
10539,POLICE OFFICER (ASSIGNED AS SECURITY SPECIALIST),POLICE,75859,5.9
10540,FOREMAN OF MOTOR TRUCK DRIVERS,SANITATION,58789,4.7
10543,PRINCIPAL STOREKEEPER,PUBLIC LIBRARY,45644,8
10546,COORD OF SPECIAL PROJECTS,COMMUNITY DEVELOPMENT,67064,6
10549,POLICE OFFICER,POLICE,59691,7.2
10551,POLICE OFFICER,POLICE,61549,6
10558,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16775,6.8
10560,POOL MOTOR TRUCK DRIVER,TRANSPORTATION,55863,5.5
10561,PRINCIPAL TYPIST,WATER MGMT,42269,5.4
10562,POLICE OFFICER,POLICE,59896,6.8
10566,SANITATION LABORER,SANITATION,56259,6
10567,POLICE OFFICER,POLICE,59504,6.3
10568,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,71097,5.3
10577,FIREFIGHTER-EMT,FIRE,62233,6.2
10581,AIRPORT OPERATIONS SUPVSR II,AVIATION,82440,6.6
10583,POLICE OFFICER,POLICE,61731,5.6
10584,POLICE OFFICER,POLICE,65896,7.2
10586,SERGEANT,POLICE,85217,7.7
10590,POLICE OFFICER,POLICE,66132,6.5
10591,FIREFIGHTER,FIRE,61302,7
10592,LIBRARIAN I,PUBLIC LIBRARY,54446,6.8
10595,POLICE OFFICER,POLICE,61496,6.3
10596,FIREFIGHTER,FIRE,59425,6
10599,SUPERVISING POLICE COMMUNICATIONS OPERATOR,EMERGENCY MGMT,72392,5.9
10600,OPERATING ENGINEER-GROUP A,WATER MGMT,75504,5.8
10601,INQUIRY AIDE III,SANITATION,39776,7.4
10603,SANITATION LABORER,SANITATION,55939,5.2
10604,POLICE OFFICER,POLICE,63802,5.6
10607,OPERATING ENGINEER-GROUP A,AVIATION,75088,4.5
10608,ASST COMMISSIONER,BUSINESS AFFAIRS,79389,5.4
10610,PARAMEDIC I/C,FIRE,69114,6.1
10615,POLICE OFFICER,POLICE,59374,4.4
10616,LIEUTENANT-EMT,FIRE,79357,7
10619,POLICE OFFICER,POLICE,63782,7
10621,SERGEANT,POLICE,80238,8
10626,FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,FIRE,76336,8.5
10628,POLICE OFFICER,POLICE,48447,6.2
10629,LABORER,AVIATION,51655,6.7
10632,SERGEANT,POLICE,86032,7.7
10635,LIEUTENANT,FIRE,80215,4.6
10636,POLICE OFFICER,POLICE,63286,7
10641,POOL MOTOR TRUCK DRIVER,SANITATION,50207,8.9
10643,POLICE OFFICER,POLICE,65867,5
10645,POLICE OFFICER,POLICE,59947,5.6
10646,FIREFIGHTER,FIRE,40417,6.3
10650,DISPATCH CLERK,ANIMAL CONTRL,38324,6.7
10651,CLERK III,POLICE,40044,7.4
10653,POLICE OFFICER,POLICE,65433,5.1
10659,POLICE OFFICER,POLICE,59932,6.6
10660,WATER RATE TAKER,WATER MGMT,68804,7.6
10661,ELECTRICAL MECHANIC (AUTOMOTIVE),GENERAL SERVICES,70445,5.4
10665,MARINE PILOT - FIRE BOAT,FIRE,77677,6.2
10666,POLICE OFFICER,POLICE,65912,7.7
10667,POLICE OFFICER,POLICE,61071,6.7
10671,FIREFIGHTER,FIRE,68558,5.2
10673,POLICE OFFICER,POLICE,59802,4.6
10676,POLICE COMMUNICATIONS OPERATOR I,EMERGENCY MGMT,50136,6.2
10680,CAPTAIN-EMT,FIRE,94616,5.2
10681,FIRE ENGINEER-EMT,FIRE,76872,7.8
10687,POLICE OFFICER,POLICE,63623,7.1
10688,COMMUNICATIONS OPERATOR II - 311,EMERGENCY MGMT,47790,7.1
10690,ADMINISTRATIVE ASST,MAYOR'S OFFICE,49483,5.8
10706,SERGEANT,POLICE,85456,6.6
10707,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,70986,6.3
10709,FIREFIGHTER-EMT,FIRE,62297,6.3
10710,POLICE OFFICER,POLICE,51018,6.5
10711,SANITATION LABORER,SANITATION,55932,5.2
10716,POLICE OFFICER,POLICE,59301,6.6
10718,POLICE OFFICER,POLICE,59728,6.2
10721,POLICE OFFICER,POLICE,66254,7.7
10724,DETENTION AIDE,POLICE,37213,7.7
10727,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16484,7.1
10728,ELECTRICAL MECHANIC,GENERAL SERVICES,70713,6.7
10729,FIELD SUPVSR I - PARKING ENFORCEMENT,FINANCE,47715,4.8
10730,ASST CORPORATION COUNSEL,LAW,49651,5.4
10731,POLICE OFFICER,POLICE,59173,6.8
10737,LIEUTENANT-EMT,FIRE,84433,6.8
10738,POLICE OFFICER,POLICE,59705,7.1
10748,OPERATING ENGINEER-GROUP A,WATER MGMT,75212,6.8
10752,FIREFIGHTER,FIRE,66402,6.5
10753,POLICE OFFICER,POLICE,48863,6.1
10755,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16355,8.2
10756,LIBRARIAN I,PUBLIC LIBRARY,55150,6.6
10757,CONSTRUCTION LABORER,WATER MGMT,60704,5.4
10758,GENERAL FOREMAN OF ELECTRICAL MECHANICS,GENERAL SERVICES,80264,7.4
10762,SECRETARY TO CHAIRMAN I,CITY COUNCIL,69625,5.4
10763,POLICE OFFICER,POLICE,63148,7
10766,LIEUTENANT,FIRE,78030,6
10770,POLICE OFFICER,POLICE,61992,6.7
10772,POLICE OFFICER,POLICE,59665,6
10777,SANITATION LABORER,SANITATION,55647,6.6
10780,FIREFIGHTER-EMT,FIRE,61879,5.9
10782,BOOTER - PARKING,FINANCE,50433,6.2
10784,FIRE ENGINEER-EMT,FIRE,71869,8.7
10790,POLICE OFFICER,POLICE,63913,6.2
10793,FIRE ENGINEER-EMT,FIRE,76724,7.3
10796,POOL MOTOR TRUCK DRIVER,TRANSPORTATION,55612,6
10797,MOTOR TRUCK DRIVER,TRANSPORTATION,55860,6.9
10798,DATA ENTRY OPERATOR,SANITATION,33306,7.3
10799,CUSTODIAL WORKER,GENERAL SERVICES,27200,5.8
10800,SENIOR EMERGENCY MANAGEMENT COORD,EMERGENCY MGMT,51096,6.7
10801,POLICE OFFICER,POLICE,49006,6.8
10802,BOOTER - PARKING,FINANCE,49811,7.2
10804,POLICE OFFICER,POLICE,63470,7.7
10811,POLICE OFFICER (ASSIGNED AS CANINE HANDLER),POLICE,70792,5.8
10816,CLERK III,POLICE,33573,6.2
10820,AVIATION SECURITY SERGEANT,AVIATION,52985,6.7
10821,POLICE OFFICER,POLICE,67814,5.4
10825,POLICE OFFICER,POLICE,49322,6.9
10826,POLICE OFFICER,POLICE,59637,6.2
10828,LIEUTENANT-EMT,FIRE,80049,5.1
10829,ADMINISTRATIVE SERVICES OFFICER I,POLICE,51169,5.1
10831,DISABILITY SPECIALIST II,DISABILITIES,60188,6.9
10835,POLICE OFFICER,POLICE,59466,7.8
10838,POLICE OFFICER,POLICE,61823,7.5
10840,LIBRARIAN IV,PUBLIC LIBRARY,71694,6.1
10842,PARAMEDIC,FIRE,51952,6.2
10848,POLICE OFFICER,POLICE,59466,7.7
10852,POLICE OFFICER,POLICE,59929,7.6
10855,POLICE OFFICER,POLICE,61168,7.4
10857,MOTOR TRUCK DRIVER,TRANSPORTATION,56090,5.7
10862,LIBRARY ASSOCIATE,PUBLIC LIBRARY,49837,7.7
10864,SANITATION LABORER,SANITATION,56382,5.9
10868,SENIOR COMPANION,FAMILY & SUPPORT,3741,6.4
10879,POLICE OFFICER,POLICE,51480,7.6
10883,FIREFIGHTER,FIRE,40355,7.2
10885,LIBRARY ASSOCIATE - HOURLY,PUBLIC LIBRARY,19829,5.8
10893,CULTURAL AFFAIRS COORD II,CULTURAL AFFAIRS,57920,5.5
10894,POLICE OFFICER,POLICE,65444,5.6
10895,SENIOR COMPANION,FAMILY & SUPPORT,3313,6.5
10897,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,73517,8.4
10903,POLICE OFFICER,POLICE,59230,7
10908,POLICE OFFICER,POLICE,61761,7.3
10911,LABORER - APPRENTICE,WATER MGMT,43351,6.3
10912,POLICE OFFICER,POLICE,63611,8.3
10914,DEPUTY COMMISSIONER,HUMAN RESOURCES,88500,7.6
10918,POOL MOTOR TRUCK DRIVER,AVIATION,55921,7.2
10920,POLICE OFFICER,POLICE,66048,8.2
10922,POLICE OFFICER,POLICE,59128,8.4
10924,POLICE OFFICER,POLICE,61142,5.2
10927,POOL MOTOR TRUCK DRIVER,WATER MGMT,56143,6
10928,GENERAL LABORER - DSS,SANITATION,32396,8.2
10938,LABORER,TRANSPORTATION,60248,5.2
10942,POLICE OFFICER,POLICE,61307,7.1
10944,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,71270,6.3
10946,DISABILITY SPECIALIST II,DISABILITIES,60029,6.4
10947,POLICE OFFICER,POLICE,68151,7.4
10951,POLICE COMMUNICATIONS OPERATOR II,EMERGENCY MGMT,59812,6
10952,POLICE OFFICER,POLICE,66149,7.4
10955,POLICE OFFICER,POLICE,63717,6.5
10956,CONTRACTS COMPLIANCE COORD,HEALTH,57815,7.1
10957,POLICE OFFICER,POLICE,34168,7.9
10963,FIREFIGHTER,FIRE,40359,5.8
10966,POLICE OFFICER,POLICE,63628,7.1
10975,POLICE OFFICER,POLICE,59883,5.5
10979,FIREFIGHTER-EMT,FIRE,62723,4.9
10980,MOTOR TRUCK DRIVER,TRANSPORTATION,55785,7.8
10982,EPIDEMIOLOGIST IV,HEALTH,80828,5.8
10985,POLICE OFFICER,POLICE,56892,5.8
10986,POLICE OFFICER,POLICE,59058,6.5
10988,SENIOR DATA ENTRY OPERATOR,PUBLIC LIBRARY,39850,6.1
10989,MOTOR TRUCK DRIVER,TRANSPORTATION,55342,5.5
10990,SERGEANT,POLICE,80520,4.9
10994,FIREFIGHTER-EMT,FIRE,61918,8
10995,MOTOR TRUCK DRIVER,WATER MGMT,56041,5.9
11003,POLICE OFFICER,POLICE,63850,4.5
11005,POLICE OFFICER,POLICE,64000,6.8
11006,FIREFIGHTER-EMT,FIRE,62269,7.2
11008,SERGEANT,POLICE,80715,5.4
11011,SERGEANT,POLICE,85244,7.6
11013,POLICE OFFICER,POLICE,59709,6.3
11014,POLICE OFFICER,POLICE,59787,7
11019,WATER METER MACHINIST,WATER MGMT,61161,7.7
11021,CUSTODIAL WORKER,WATER MGMT,33524,8.3
11022,FIREFIGHTER,FIRE,63483,6.8
11023,POLICE OFFICER,POLICE,63599,6.8
11024,GENERAL LABORER - DSS,SANITATION,33999,6.3
11027,FIREFIGHTER-EMT,FIRE,69209,5
11030,POLICE OFFICER,POLICE,56556,4.8
11034,FIREFIGHTER-EMT,FIRE,62581,6.8
11036,FIREFIGHTER,FIRE,66289,8.5
11039,MANAGING ENGINEER - WATER MANAGEMENT,WATER MGMT,84805,6.3
11041,FOREMAN OF CEMENT FINISHERS,TRANSPORTATION,72902,7.3
11046,LIEUTENANT-EMT,FIRE,79190,7.2
11048,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16180,4.8
11051,SANITATION LABORER,SANITATION,56357,7.7
11053,SUPPORT SERVICES COORD,FAMILY & SUPPORT,47400,7
11054,LAW CLERK,LAW,21134,7.7
11056,POLICE OFFICER,POLICE,59442,6
11057,FOREMAN OF MOTOR TRUCK DRIVERS,AVIATION,58494,7.5
11058,FIREFIGHTER,FIRE,69081,4.4
11061,SENIOR COMPANION,FAMILY & SUPPORT,3756,6
11063,FIREFIGHTER,FIRE,63706,6.1
11067,CLERK III,POLICE,38899,5
11075,POLICE OFFICER,POLICE,65852,4.9
11079,SANITATION LABORER,SANITATION,55800,6.1
11082,ASPHALT FOREMAN,TRANSPORTATION,61847,6.2
11083,FIREFIGHTER-EMT,FIRE,64489,5.9
11084,POLICE OFFICER (PER ARBITRATION AWARD),POLICE,71362,7.8
11085,LIEUTENANT-EMT,FIRE,79571,7.7
11089,SUPERVISING CLERK,FINANCE,60359,6
11091,SANITATION LABORER,SANITATION,55859,8.3
11096,POLICE OFFICER,POLICE,65914,6.2
11098,POLICE OFFICER,POLICE,63316,6
11105,LIEUTENANT,FIRE,76303,5.8
11106,POLICE OFFICER,POLICE,48823,6.2
11108,ADMINISTRATIVE ASST III,TRANSPORTATION,47953,6.8
11109,PROPERTY CUSTODIAN - AUTO POUND,SANITATION,44236,7.9
11111,TRAFFIC ENFORCEMENT TECH,FINANCE,24115,7.4
11121,POLICE OFFICER,POLICE,59497,6.8
11122,FIREFIGHTER-EMT,FIRE,66940,6.2
11123,LIBRARY CLERK,PUBLIC LIBRARY,36488,6.9
11125,FIREFIGHTER-EMT,FIRE,62492,7
11128,POLICE OFFICER,POLICE,66121,7
11129,BATTALION CHIEF - EMT,FIRE,103341,5.6
11131,DIR OF ADMINISTRATION,FAMILY & SUPPORT,72259,3.8
11135,FRM OF MACHINISTS - AUTOMOTIVE,GENERAL SERVICES,75896,6.8
11140,BUILDING/CONSTRUCTION INSPECTOR,BUILDINGS,75517,7.1
11143,POLICE OFFICER,POLICE,59458,5
11145,POLICE OFFICER,POLICE,61028,5.8
11151,FIREFIGHTER-EMT,FIRE,61961,6.5
11152,POLICE OFFICER,POLICE,63324,7
11153,ACCOUNTING TECHNICIAN II,COMMUNITY DEVELOPMENT,46216,7.4
11157,POLICE OFFICER,POLICE,59473,6.5
11159,ELECTRICAL MECHANIC,WATER MGMT,69833,7.1
11160,POLICE OFFICER,POLICE,59061,7.3
11171,ASST DIR OF NEWS AFFAIRS,POLICE,59600,7
11173,SUPPORT SERVICES COORD,FAMILY & SUPPORT,55302,8.2
11174,ASST CORPORATION COUNSEL,LAW,49182,5.3
11175,ANIMAL CONTROL OFFICER,ANIMAL CONTRL,46448,6.2
11182,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,70948,8.3
11183,POLICE OFFICER,POLICE,65806,7.2
11184,POLICE OFFICER,POLICE,61807,4.8
11186,POLICE OFFICER,POLICE,65908,5.9
11187,FIREFIGHTER,FIRE,63859,7.4
11189,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,68768,5.6
11190,AUDITOR III,FAMILY & SUPPORT,71598,8.5
11194,POLICE OFFICER,POLICE,59243,5.9
11196,LIBRARIAN II,PUBLIC LIBRARY,60456,7.3
11197,POLICE OFFICER,POLICE,61081,7.3
11203,SANITATION LABORER,SANITATION,55896,3.1
11204,CUSTODIAL WORKER,AVIATION,33666,6.9
11208,POLICE OFFICER,POLICE,63738,7
11212,POLICE OFFICER,POLICE,61526,6.5
11214,MOTOR TRUCK DRIVER,SANITATION,55954,7.8
11216,ELECTRICAL MECHANIC (AUTOMOTIVE),GENERAL SERVICES,70401,6.3
11222,POLICE OFFICER,POLICE,63786,8.3
11229,POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),POLICE,64358,7.3
11231,POLICE OFFICER,POLICE,51815,6.3
11232,SANITATION LABORER,SANITATION,56148,4.7
11233,SERGEANT,POLICE,82775,6.9
11234,PARALEGAL II - LABOR,LAW,42984,5.3
11242,OPERATING ENGINEER-GROUP A,WATER MGMT,75411,6.9
11243,TRAFFIC CONTROL AIDE,EMERGENCY MGMT,45785,7.2
11248,LIBRARY ASSOCIATE,PUBLIC LIBRARY,49995,5.6
11249,POLICE OFFICER (ASGND AS MARINE OFFICER),POLICE,69308,7.3
11253,LABORER - APPRENTICE,WATER MGMT,54395,5.9
11254,SUPERVISING ENVIRONMENTAL ENGINEER,HEALTH,75287,6.3
11257,POLICE OFFICER,POLICE,59750,7
11258,POLICE OFFICER,POLICE,63929,6.5
11264,SERGEANT,POLICE,85894,5.1
11269,POLICE OFFICER,POLICE,67379,7.8
11278,SERGEANT,POLICE,80892,4.8
11279,CARPENTER,AVIATION,69905,5.5
11280,POLICE OFFICER,POLICE,67822,7.5
11283,SANITATION LABORER,SANITATION,56420,6.6
11285,POLICE OFFICER,POLICE,59417,4.4
11290,WATCHMAN,WATER MGMT,34539,6.3
11291,FIREFIGHTER,FIRE,66034,7.4
11296,LIBRARIAN II,PUBLIC LIBRARY,60734,7.7
11300,POLICE OFFICER,POLICE,61686,4.9
11301,SERGEANT,POLICE,82434,3.6
11304,POLICE OFFICER,POLICE,51016,8.3
11305,DETENTION AIDE,POLICE,38910,8.5
11307,POLICE OFFICER,POLICE,63646,4.6
11313,DEPUTY CORPORATION COUNSEL,LAW,106970,6
11315,POLICE OFFICER,POLICE,63354,5.5
11317,TRAFFIC CONTROL AIDE-HOURLY,EMERGENCY MGMT,16924,6.1
11321,POLICE OFFICER,POLICE,61342,6.9
11323,POLICE COMMUNICATIONS OPERATOR II,EMERGENCY MGMT,57382,6.4
11327,PRODUCTION ASST,CULTURAL AFFAIRS,31776,7.4
11328,LABORER - APPRENTICE,WATER MGMT,43418,6
11329,POLICE OFFICER,POLICE,59568,7.6
11330,MOTOR TRUCK DRIVER,SANITATION,55289,7.1
11331,POLICE OFFICER,POLICE,63703,7.6
11334,CONSTRUCTION LABORER,WATER MGMT,60922,6.9
11336,POLICE OFFICER,POLICE,61729,5.3
